#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#tags column:4
hand over sensitive data	<b>核心意思</b>：交出敏感数据。<br><b>原文句</b>：Critics fret that genomic sequencing may cause needless worry, and require parents to hand over sensitive data about their children.<br>译：批评者则担心，基因组测序可能造成不必要的焦虑，并要求父母交出关于孩子的敏感数据。<br><b>怎么记</b>：hand over = 交出/移交；sensitive data = 隐私、医疗、金融等敏感数据。<br><b>怎么考</b>：隐私伦理高频表达；翻译中 hand over 带有被要求交出的意味。<br><b>真实例句</b>：<br>1. Users should not be forced to hand over sensitive data for basic services. 译：用户不应被迫为基础服务交出敏感数据。<br>2. Schools must be careful when asking parents to hand over sensitive data. 译：学校要求家长交出敏感数据时必须谨慎。	<b>作文可用</b>：No institution should force citizens to hand over sensitive data without clear safeguards. 译：任何机构都不应在缺乏明确保障的情况下强迫公民交出敏感数据。	外刊精读
markers of conditions	<b>核心意思</b>：疾病标志物；显示某疾病风险的指标。<br><b>原文句</b>：Many countries screen infants for diseases already, usually by taking a blood sample and looking for markers of conditions such as sickle-cell anaemia or cystic fibrosis.<br>译：许多国家已经在为婴儿筛查疾病，通常是采集血样，寻找镰状细胞贫血或囊性纤维化等疾病的标志物。<br><b>怎么记</b>：marker = 标志物/指标；condition 在医学中常指疾病或健康状况。<br><b>怎么考</b>：熟词 condition 不只是条件；医学阅读中常译为疾病/病症。<br><b>真实例句</b>：<br>1. Doctors look for markers of heart disease in blood tests. 译：医生在血液检测中寻找心脏病标志物。<br>2. Early markers of stress can help schools support students sooner. 译：压力的早期指标可以帮助学校更早支持学生。		外刊精读
flag mutations	<b>核心意思</b>：标记突变；提示某突变可能重要。<br><b>原文句</b>：Analysing DNA rather than blood can increase that number dramatically, as well as flagging mutations that are not causing problems yet, but might in future.<br>译：分析 DNA 而不是血液，可以大幅增加筛查数量，也可以标记出那些尚未造成问题、但未来可能造成问题的突变。<br><b>怎么记</b>：flag 作动词是“标记、提示注意”，不是旗帜。<br><b>怎么考</b>：熟词僻义；科技和政策文常见 flag risks/problems/users。<br><b>真实例句</b>：<br>1. The system can flag mutations linked to childhood disease. 译：该系统可以标记与儿童疾病相关的突变。<br>2. A good safety system should flag risks before accidents happen. 译：好的安全系统应在事故发生前标记风险。		外刊精读
genes are not always destiny	<b>核心意思</b>：基因并不总是命运；遗传风险不等于必然结果。<br><b>原文句</b>：One is that genes are not always destiny.<br>译：其中之一是：基因并不总是命运。<br><b>怎么记</b>：destiny = fate；这里用简短句作全文关键转折。<br><b>怎么考</b>：主旨和态度题核心句；反驳“基因信息=确定性”。<br><b>真实例句</b>：<br>1. Genes are not always destiny because environment and habits also matter. 译：基因并不总是命运，因为环境和习惯也很重要。<br>2. Talent is not always destiny; effort and guidance can change outcomes. 译：天赋并不总是命运；努力和指导可以改变结果。	<b>作文可用</b>：Technology is not always destiny; what matters is how responsibly people use it. 译：技术并不总是命运，关键在于人们如何负责任地使用它。	外刊精读
scores of	<b>核心意思</b>：大量；许多。<br><b>原文句</b>：The average person carries scores of genetic variants that have been linked to diseases.<br>译：普通人携带大量与疾病有关的遗传变异。<br><b>怎么记</b>：score 作名词可指 20；scores of = many / dozens of。<br><b>怎么考</b>：熟词僻义；不要译成分数。<br><b>真实例句</b>：<br>1. The city has built scores of small libraries in poor communities. 译：这座城市在贫困社区建了许多小图书馆。<br>2. Researchers found scores of factors linked to sleep quality. 译：研究人员发现了许多与睡眠质量相关的因素。		外刊精读
genetic variants	<b>核心意思</b>：遗传变异；基因变体。<br><b>原文句</b>：The average person carries scores of genetic variants that have been linked to diseases.<br>译：普通人携带大量与疾病有关的遗传变异。<br><b>怎么记</b>：variant = 变体；genetic variant 是健康科技文核心词。<br><b>怎么考</b>：阅读中 variants 不一定都是危险因素，要看是否 linked to / risky / disease-causing。<br><b>真实例句</b>：<br>1. Some genetic variants raise disease risk only slightly. 译：一些遗传变异只会略微提高疾病风险。<br>2. Different variants of a virus may spread at different speeds. 译：病毒的不同变体可能以不同速度传播。		外刊精读
penetrance	"<b>核心意思</b>：外显率；携带某突变的人实际发病的比例。<br><b>原文句</b>：Geneticists use a concept called ""penetrance"" to describe the proportion of people with a disease-causing mutation who actually go on to become ill.<br>译：遗传学家使用“外显率”这一概念，描述携带致病突变的人中实际继续发病的比例。<br><b>怎么记</b>：penetrate = 穿透；penetrance 可理解为基因风险“显现出来”的比例。<br><b>怎么考</b>：本文核心概念；理解它才能看懂为什么筛查会制造不确定性。<br><b>真实例句</b>：<br>1. A mutation with low penetrance may never lead to disease. 译：低外显率突变可能永远不会导致疾病。<br>2. Doctors must explain penetrance before giving genetic-test results. 译：医生在给出基因检测结果前必须解释外显率。"		外刊精读
go on to become ill	"<b>核心意思</b>：后来继续发展为患病；最终发病。<br><b>原文句</b>：Geneticists use a concept called ""penetrance"" to describe the proportion of people with a disease-causing mutation who actually go on to become ill.<br>译：遗传学家使用“外显率”这一概念，描述携带致病突变的人中实际继续发病的比例。<br><b>怎么记</b>：go on to do = 接着做/后来发展到做某事。<br><b>怎么考</b>：长句中常表示时间发展，不要译成“继续走”。<br><b>真实例句</b>：<br>1. Only a small number of carriers go on to become ill. 译：只有少数携带者后来会发病。<br>2. Many students who struggle early go on to succeed with proper support. 译：许多早期学习吃力的学生在适当支持下后来会成功。"		外刊精读
working backwards from	<b>核心意思</b>：从...倒推；从结果反推原因。<br><b>原文句</b>：Many disease-causing mutations are found by working backwards from people who are already ill, which risks inflating the numbers.<br>译：许多致病突变是通过从已经患病的人倒推发现的，这就有夸大数字的风险。<br><b>怎么记</b>：backwards = 向后；working backwards from = 从已知结果反推。<br><b>怎么考</b>：方法论表达；常用于研究偏差、推理逻辑。<br><b>真实例句</b>：<br>1. Researchers worked backwards from failed cases to find the design flaw. 译：研究人员从失败案例倒推，找出设计缺陷。<br>2. Police worked backwards from the data leak to identify the weak point. 译：警方从数据泄露倒推，识别薄弱环节。		外刊精读
inflate the numbers	<b>核心意思</b>：夸大数字；抬高数据。<br><b>原文句</b>：Many disease-causing mutations are found by working backwards from people who are already ill, which risks inflating the numbers.<br>译：许多致病突变是通过从已经患病的人倒推发现的，这就有夸大数字的风险。<br><b>怎么记</b>：inflate 本义给气球充气，引申为夸大价格、数字、风险。<br><b>怎么考</b>：数据题和态度题高频；通常带负面色彩。<br><b>真实例句</b>：<br>1. Counting only severe cases may inflate the numbers. 译：只统计严重病例可能会夸大数字。<br>2. Some companies inflate the numbers to attract investors. 译：一些公司夸大数字以吸引投资者。		外刊精读
equate A with B	"<b>核心意思</b>：把 A 等同于 B。<br><b>原文句</b>：""I think historically people have equated genetic information with certainty,"" says Caroline Wright.<br>译：Caroline Wright 说：“我认为，过去人们一直把遗传信息等同于确定性。”<br><b>怎么记</b>：equate = treat as equal；介词固定用 with。<br><b>怎么考</b>：观点题高频；常用于批评过度简化。<br><b>真实例句</b>：<br>1. It is wrong to equate high income with happiness. 译：把高收入等同于幸福是错误的。<br>2. We should not equate test scores with real ability. 译：我们不应把考试分数等同于真实能力。"	<b>作文可用</b>：It is dangerous to equate technological progress with social progress. 译：把技术进步等同于社会进步是危险的。	外刊精读
outdated	"<b>核心意思</b>：过时的；不再适合当前情况的。<br><b>原文句</b>：""I think historically people have equated genetic information with certainty,"" says Caroline Wright, a geneticist at the University of Exeter, who conducted the study, ""which is quite outdated now.""<br>译：埃克塞特大学遗传学家 Caroline Wright 进行了这项研究。她说：“我认为，过去人们一直把遗传信息等同于确定性，而这种看法如今已经相当过时了。”<br><b>怎么记</b>：out- + dated = 超出日期；用于 idea, rule, system, view。<br><b>怎么考</b>：态度题中表示作者或引述者否定旧观念。<br><b>真实例句</b>：<br>1. Outdated teaching methods cannot meet students' current needs. 译：过时的教学方法无法满足学生当前需求。<br>2. Some privacy laws are outdated in the age of artificial intelligence. 译：在人工智能时代，一些隐私法律已经过时。"	<b>作文可用</b>：Outdated rules should be revised when technology changes society. 译：当技术改变社会时，过时的规则应被修订。	外刊精读
low or middling penetrance	"<b>核心意思</b>：低或中等外显率。<br><b>原文句</b>：Testing hundreds of genes with low or middling penetrance could create ""patients-in-waiting"" many of whom will never become ill.<br>译：检测数百个外显率较低或中等的基因，可能会制造出许多“等待成为病人”的人，而其中很多人永远不会发病。<br><b>怎么记</b>：middling = 中等的、一般的；和 low 构成风险等级。<br><b>怎么考</b>：理解程度修饰词；不是所有基因风险都同等严重。<br><b>真实例句</b>：<br>1. A variant with middling penetrance may require monitoring rather than treatment. 译：中等外显率的变异可能需要监测，而不是治疗。<br>2. Policies with low or middling impact should not consume excessive resources. 译：影响较低或中等的政策不应消耗过多资源。"		外刊精读
patients-in-waiting	"<b>核心意思</b>：“等待成为病人”的人；被风险标签困住但未发病的人。<br><b>原文句</b>：Testing hundreds of genes with low or middling penetrance could create ""patients-in-waiting"" many of whom will never become ill.<br>译：检测数百个外显率较低或中等的基因，可能会制造出许多“等待成为病人”的人，而其中很多人永远不会发病。<br><b>怎么记</b>：in-waiting 常指“候任/等待中的”；这里带批判和讽刺色彩。<br><b>怎么考</b>：作者态度题重点；说明筛查可能把健康人心理上变成病人。<br><b>真实例句</b>：<br>1. Over-testing can turn healthy people into patients-in-waiting. 译：过度检测可能把健康人变成“等待成为病人”的人。<br>2. Constant risk alerts may create citizens-in-waiting for disaster. 译：持续的风险警报可能制造出等待灾难降临的公民。"		外刊精读
diagnostic purgatory	<b>核心意思</b>：诊断炼狱；长期处于不确定诊断中的痛苦状态。<br><b>原文句</b>：Such diagnostic purgatory is stressful enough that, in the case of cystic fibrosis, it has a name.<br>译：这种诊断上的炼狱已经足够令人焦虑，以至于在囊性纤维化中，它有了一个名称。<br><b>怎么记</b>：purgatory 本义宗教“炼狱”，外刊用来形容夹在两种状态之间的痛苦等待。<br><b>怎么考</b>：语气强烈，说明作者重视心理伤害；翻译要保留不确定和折磨感。<br><b>真实例句</b>：<br>1. Families may spend years in diagnostic purgatory before getting a clear answer. 译：家庭可能在多年诊断炼狱后才得到明确答案。<br>2. Students can feel trapped in academic purgatory when evaluations are unclear. 译：当评价不清晰时，学生可能感觉被困在学业炼狱中。		外刊精读
question the worth of	<b>核心意思</b>：质疑...是否值得；怀疑...的价值。<br><b>原文句</b>：Parents of CFSPID children often question the worth of getting the test results at all, says Anneke Lucassen.<br>译：Anneke Lucassen 说，CFSPID 儿童的父母常常会质疑，拿到这些检测结果到底是否值得。<br><b>怎么记</b>：worth 在这里是名词“价值”；question 作动词是质疑。<br><b>怎么考</b>：熟词组合；翻译成“质疑...价值”比“问价值”自然。<br><b>真实例句</b>：<br>1. Some parents question the worth of too much homework. 译：一些家长质疑过多家庭作业的价值。<br>2. Citizens may question the worth of surveillance that brings little safety. 译：如果监控几乎不带来安全，公民可能质疑它的价值。		外刊精读
follow-up	<b>核心意思</b>：后续处理；随访；后续行动。<br><b>原文句</b>：But for medullary thyroid cancer caused by mutations in the RET gene, a common follow-up is to surgically remove the thyroid gland.<br>译：但对于由 RET 基因突变导致的甲状腺髓样癌，一种常见后续处理是通过手术切除甲状腺。<br><b>怎么记</b>：follow-up 可作名词或形容词，医学中常指复查或后续治疗。<br><b>怎么考</b>：健康类阅读高频；注意 common follow-up is to do 结构。<br><b>真实例句</b>：<br>1. A follow-up appointment is needed after the operation. 译：手术后需要一次随访预约。<br>2. A useful policy requires follow-up, not just an announcement. 译：有用的政策需要后续行动，而不只是公告。		外刊精读
dependent on	<b>核心意思</b>：依赖于；取决于。<br><b>原文句</b>：That leaves patients dependent on artificial thyroid hormones for the rest of their lives.<br>译：这会让患者在余生都依赖人工甲状腺激素。<br><b>怎么记</b>：leave sb dependent on sth = 使某人依赖某物；dependent 也可指取决于。<br><b>怎么考</b>：结果题常考 leave + 宾语 + 形容词补足语。<br><b>真实例句</b>：<br>1. Some patients are dependent on daily medication. 译：一些患者依赖每日用药。<br>2. Young people should not become dependent on short videos for information. 译：年轻人不应依赖短视频获取信息。		外刊精读
give rise to	<b>核心意思</b>：导致；引起；产生。<br><b>原文句</b>：Results could be given for only genetic variants which give rise to treatable illnesses, and which are known to have high penetrance.<br>译：检测结果可以只告知那些会导致可治疗疾病、且已知具有高外显率的遗传变异。<br><b>怎么记</b>：give rise to 是正式因果表达，后接结果。<br><b>怎么考</b>：完形、翻译、作文都高频；可替代 cause/lead to。<br><b>真实例句</b>：<br>1. Air pollution can give rise to serious health problems. 译：空气污染可能导致严重健康问题。<br>2. Unfair rules can give rise to public distrust. 译：不公平规则可能导致公众不信任。	<b>作文可用</b>：Lack of privacy protection can give rise to public distrust. 译：缺乏隐私保护可能导致公众不信任。	外刊精读
treatable illnesses	<b>核心意思</b>：可治疗疾病。<br><b>原文句</b>：Results could be given for only genetic variants which give rise to treatable illnesses, and which are known to have high penetrance.<br>译：检测结果可以只告知那些会导致可治疗疾病、且已知具有高外显率的遗传变异。<br><b>怎么记</b>：treatable = can be treated；-able 表示“可...的”。<br><b>怎么考</b>：健康政策关键限定：可治疗才值得告知，降低无谓焦虑。<br><b>真实例句</b>：<br>1. Screening is most useful when it identifies treatable illnesses. 译：筛查在识别可治疗疾病时最有用。<br>2. Public health systems should focus on preventable and treatable illnesses. 译：公共卫生系统应关注可预防和可治疗疾病。		外刊精读
test's limitations	<b>核心意思</b>：检测的局限性。<br><b>原文句</b>：Careful communication can improve understanding of a test's limitations.<br>译：谨慎的沟通可以改善人们对检测局限性的理解。<br><b>怎么记</b>：limitation = 局限；常搭配 understand/recognise/acknowledge。<br><b>怎么考</b>：翻译和写作高频抽象名词；科技话题必须承认局限。<br><b>真实例句</b>：<br>1. Doctors should explain a test's limitations before giving results. 译：医生应在给出结果前解释检测的局限性。<br>2. Users need to understand the limitations of artificial intelligence. 译：用户需要理解人工智能的局限。	<b>作文可用</b>：Society should recognise the limitations of technology as well as its benefits. 译：社会既应认识技术的好处，也应认识其局限。	外刊精读
only half the story	<b>核心意思</b>：只是故事的一半；还不是全部问题。<br><b>原文句</b>：But screening is only half the story.<br>译：但筛查只是故事的一半。<br><b>怎么记</b>：story 在外刊中可指“问题全貌/事情的完整情况”。<br><b>怎么考</b>：段落转折信号；提示作者将引出第二层问题。<br><b>真实例句</b>：<br>1. High income is only half the story of a good job. 译：高收入只是好工作的一半。<br>2. Technology is only half the story; governance matters too. 译：技术只是问题的一半，治理同样重要。	<b>作文可用</b>：Efficiency is only half the story; fairness matters too. 译：效率只是问题的一半，公平同样重要。	外刊精读
store the genomes for use in future research	<b>核心意思</b>：储存基因组以供未来研究使用。<br><b>原文句</b>：A second goal of most programmes is to store the genomes for use in future research.<br>译：多数项目的第二个目标，是储存基因组，以便未来研究使用。<br><b>怎么记</b>：for use in = 用于；future research 是研究目的，不等于当下患者利益。<br><b>怎么考</b>：文章伦理分歧核心：筛查和研究储存是两件事。<br><b>真实例句</b>：<br>1. Hospitals may store samples for use in future research. 译：医院可能储存样本以供未来研究使用。<br>2. Schools should not store children's data for future research without clear consent. 译：学校不应在缺乏明确同意的情况下储存儿童数据以供未来研究。		外刊精读
neurodevelopmental disorder	<b>核心意思</b>：神经发育障碍。<br><b>原文句</b>：Data from Britain's 100,000 Genomes Project allowed researchers at Oxford to spot genetic variants that cause a neurodevelopmental disorder in children.<br>译：英国 100,000 Genomes Project 的数据使牛津研究人员发现了会导致儿童神经发育障碍的遗传变异。<br><b>怎么记</b>：neuro- = 神经；developmental = 发育的；disorder = 障碍/疾病。<br><b>怎么考</b>：专业复合词拆解；不必逐字死背，但要能看懂医学语境。<br><b>真实例句</b>：<br>1. Autism is often discussed as a neurodevelopmental disorder. 译：自闭症常被作为神经发育障碍讨论。<br>2. Early support can improve outcomes for children with neurodevelopmental disorders. 译：早期支持可以改善神经发育障碍儿童的结局。		外刊精读
drug side-effects	<b>核心意思</b>：药物副作用。<br><b>原文句</b>：The data could also be used to predict drug side-effects and predict how well a patient will respond to treatment.<br>译：这些数据还可用于预测药物副作用，并预测患者对治疗的反应。<br><b>怎么记</b>：side-effect 是固定合成词；drug 在医学中是药物，不是毒品。<br><b>怎么考</b>：健康类阅读高频；注意 predict A and predict B 并列。<br><b>真实例句</b>：<br>1. Genetic data may help predict drug side-effects. 译：基因数据可能帮助预测药物副作用。<br>2. Patients should be informed about possible drug side-effects. 译：患者应被告知可能的药物副作用。		外刊精读
respond to treatment	<b>核心意思</b>：对治疗有反应；治疗有效。<br><b>原文句</b>：The data could also be used to predict drug side-effects and predict how well a patient will respond to treatment.<br>译：这些数据还可用于预测药物副作用，并预测患者对治疗的反应。<br><b>怎么记</b>：respond to 在医学中常指患者对治疗是否有效反应。<br><b>怎么考</b>：熟词搭配；不要译成“回答治疗”。<br><b>真实例句</b>：<br>1. Some patients respond to treatment within a few weeks. 译：一些患者会在数周内对治疗产生反应。<br>2. Different students respond to feedback in different ways. 译：不同学生对反馈的反应方式不同。		外刊精读
a massive boost	"<b>核心意思</b>：巨大推动；大幅提升。<br><b>原文句</b>：""AI is giving us a massive boost to that.""<br>译：AI 正在极大地推动这一点。<br><b>怎么记</b>：massive = very large；boost 可作名词，常与 give sb/sth a boost 搭配。<br><b>怎么考</b>：科技文章高频正面评价；注意 boost to sth 的介词。<br><b>真实例句</b>：<br>1. AI has given medical research a massive boost. 译：AI 给医学研究带来了巨大推动。<br>2. Better libraries can give rural education a massive boost. 译：更好的图书馆能极大推动农村教育。"	<b>作文可用</b>：Digital tools can give lifelong learning a massive boost. 译：数字工具可以极大推动终身学习。	外刊精读
among the most personal and sensitive information there is	<b>核心意思</b>：属于最私人、最敏感的信息之一。<br><b>原文句</b>：On the other hand, a person's genome is among the most personal and sensitive information there is.<br>译：另一方面，一个人的基因组是最私人、最敏感的信息之一。<br><b>怎么记</b>：among the most... there is 是强调结构，表示“最...之一”。<br><b>怎么考</b>：长句翻译要保留最高级强度；这是隐私论证核心句。<br><b>真实例句</b>：<br>1. Medical records are among the most sensitive information there is. 译：医疗记录属于最敏感的信息之一。<br>2. Children's data are among the most personal information a school can hold. 译：儿童数据属于学校可能持有的最私人信息之一。	<b>作文可用</b>：Personal data are among the most sensitive resources in the digital age. 译：个人数据是数字时代最敏感的资源之一。	外刊精读
sticking-point	<b>核心意思</b>：争议点；障碍点；卡住问题的关键。<br><b>原文句</b>：For some researchers and parents, the idea of storing it indefinitely is a sticking-point.<br>译：对一些研究人员和父母来说，无限期储存基因组这个想法是一个棘手问题。<br><b>怎么记</b>：stick = 卡住；sticking-point = 谈判或争论中卡住的点。<br><b>怎么考</b>：议论文常用，定位争议焦点。<br><b>真实例句</b>：<br>1. Data privacy remains a sticking-point in the debate over smart cities. 译：数据隐私仍是智慧城市争论中的障碍点。<br>2. Funding is the main sticking-point in the school reform plan. 译：资金是学校改革计划中的主要争议点。		外刊精读
indefinitely	<b>核心意思</b>：无限期地；期限不明确地。<br><b>原文句</b>：For some researchers and parents, the idea of storing it indefinitely is a sticking-point.<br>译：对一些研究人员和父母来说，无限期储存基因组这个想法是一个棘手问题。<br><b>怎么记</b>：in- + definite 明确；indefinitely = 没有明确期限。<br><b>怎么考</b>：隐私、法律、政策类高频；常和 store, delay, suspend 搭配。<br><b>真实例句</b>：<br>1. The company should not store users' data indefinitely. 译：公司不应无限期储存用户数据。<br>2. The project was delayed indefinitely after public opposition. 译：公众反对后，该项目被无限期推迟。		外刊精读
beleaguered	<b>核心意思</b>：陷入困境的；受到围攻的。<br><b>原文句</b>：In 2023, for instance, hackers stole the genetic and personal information of 6.9m customers of 23andMe, a beleaguered direct-to-consumer genetic-testing company.<br>译：例如 2023 年，黑客窃取了 23andMe 690 万名客户的遗传和个人信息。23andMe 是一家处境艰难、直接面向消费者的基因检测公司。<br><b>怎么记</b>：beleaguer 原指围攻，引申为被麻烦、批评或危机包围。<br><b>怎么考</b>：态度词，常用于公司、政府、领导者处境不佳。<br><b>真实例句</b>：<br>1. The beleaguered firm faced lawsuits and falling sales. 译：这家陷入困境的公司面临诉讼和销售下滑。<br>2. A beleaguered hospital may struggle to protect patient data. 译：一家处境艰难的医院可能难以保护患者数据。		外刊精读
direct-to-consumer	<b>核心意思</b>：直接面向消费者的。<br><b>原文句</b>：In 2023, for instance, hackers stole the genetic and personal information of 6.9m customers of 23andMe, a beleaguered direct-to-consumer genetic-testing company.<br>译：例如 2023 年，黑客窃取了 23andMe 690 万名客户的遗传和个人信息。23andMe 是一家处境艰难、直接面向消费者的基因检测公司。<br><b>怎么记</b>：direct-to-consumer 常缩写 DTC，表示不经过医生、零售商或中介。<br><b>怎么考</b>：商业和医疗结合文章常见；注意连字符整体作形容词。<br><b>真实例句</b>：<br>1. Direct-to-consumer tests can give people information without a doctor's advice. 译：直接面向消费者的检测可以在没有医生建议的情况下给人信息。<br>2. Direct-to-consumer marketing may weaken professional guidance. 译：直接面向消费者的营销可能削弱专业指导。		外刊精读
