#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#tags column:4
minimal genome	<b>核心意思</b>：最小基因组；维持生命所需的最少基因集合。<br><b>原文句</b>：In the 2010s Dr Glass and his colleagues used studies which had identified every gene a bacterium could manage without to try and create a minimal genome.<br>译：2010 年代，Glass 博士和同事利用那些识别出细菌可缺失哪些基因仍能存活的研究，试图创造一个最小基因组。<br><b>怎么记</b>：minimal = 最小限度的；genome = 基因组。它是科技主题词，不必扩展到作文。<br><b>怎么考</b>：阅读中帮助定位“保留必需部分、删除非必需部分”的实验思路。<br><b>真实例句</b>：<br>1. A minimal genome may reveal which genes are essential for life. 译：最小基因组可能揭示哪些基因对生命是必不可少的。<br>2. Engineers often begin with a minimal model before adding complexity. 译：工程师常先从最小模型开始，再增加复杂性。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
transplant a chromosome	<b>核心意思</b>：移植一条染色体。<br><b>原文句</b>：They then transplanted a chromosome containing all those genes into another bacterium.<br>译：随后，他们把一条包含所有这些基因的染色体移植到另一种细菌中。<br><b>怎么记</b>：transplant = trans- across + plant 放置；医学中是“移植”，科技文中也可用于基因/组织/制度。<br><b>怎么考</b>：注意 transplant A into B 结构；细节题常问实验步骤。<br><b>真实例句</b>：<br>1. Doctors transplanted a healthy organ into the patient. 译：医生把一个健康器官移植到病人体内。<br>2. A policy cannot simply be transplanted into a different culture. 译：一项政策不能简单移植到不同文化中。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
offspring	<b>核心意思</b>：后代；子代。<br><b>原文句</b>：Some of that cell's offspring inherited just the new chromosome; any which still had the old DNA were killed.<br>译：该细胞的一些后代只继承了新染色体；任何仍带有旧 DNA 的后代都被清除。<br><b>怎么记</b>：offspring 单复数同形，既可指动物/人的后代，也可指细胞子代。<br><b>怎么考</b>：阅读中常替换 descendants/children；翻译需结合语境。<br><b>真实例句</b>：<br>1. The disease can be passed from parents to their offspring. 译：这种疾病可能由父母传给后代。<br>2. The offspring of successful start-ups often reshape the local economy. 译：成功初创企业衍生出的新公司常会重塑地方经济。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
tweak and try again	<b>核心意思</b>：调整后再试；反复微调试错。<br><b>原文句</b>：If the resulting cells didn't work, the researchers tweaked and tried again.<br>译：如果得到的细胞无法运转，研究人员就进行微调，然后再试一次。<br><b>怎么记</b>：tweak = 小幅调整，不是彻底改变；常用于 policy, model, system, design。<br><b>怎么考</b>：外刊常用来描述渐进式改革或实验试错。<br><b>真实例句</b>：<br>1. The school tweaked its timetable and tried again after students complained. 译：学生抱怨后，学校微调了课程表并再次尝试。<br>2. Engineers tweaked the model and tried again until the error disappeared. 译：工程师不断微调模型并重新尝试，直到错误消失。	<b>作文可用</b>：Governments should tweak flawed policies and try again instead of abandoning reform. 译：政府应微调有缺陷的政策并继续尝试，而不是放弃改革。	外刊精读
streamlined cells	<b>核心意思</b>：精简化细胞；去掉冗余部分后的细胞。<br><b>原文句</b>：Eventually that process produced streamlined cells with a small, wholly synthetic genome that were nonetheless capable of reproducing themselves.<br>译：最终，这一过程产生了带有小型、完全合成基因组的精简细胞，而它们仍然能够自我繁殖。<br><b>怎么记</b>：streamline 原指让物体呈流线型，引申为简化流程、减少冗余。<br><b>怎么考</b>：常考熟词僻义；可用于制度、流程、组织改革。<br><b>真实例句</b>：<br>1. The hospital streamlined its procedures to reduce waiting times. 译：医院简化流程以减少等待时间。<br>2. A streamlined application process can help graduates find jobs faster. 译：简化的申请流程能帮助毕业生更快找到工作。	<b>作文可用</b>：Public services should be streamlined without sacrificing fairness. 译：公共服务应在不牺牲公平的前提下简化流程。	外刊精读
nonetheless capable of doing	<b>核心意思</b>：尽管如此仍然能够做某事。<br><b>原文句</b>：Eventually that process produced streamlined cells with a small, wholly synthetic genome that were nonetheless capable of reproducing themselves.<br>译：最终，这一过程产生了带有小型、完全合成基因组的精简细胞，而它们仍然能够自我繁殖。<br><b>怎么记</b>：nonetheless = nevertheless，表示让步后的转折；capable of 后接 doing。<br><b>怎么考</b>：阅读中提示“弱点之后的能力”，态度判断常用。<br><b>真实例句</b>：<br>1. The system is costly but nonetheless capable of protecting vulnerable groups. 译：这个系统成本高，但仍能保护弱势群体。<br>2. The article is difficult but nonetheless capable of improving reading stamina. 译：这篇文章很难，但仍能提高阅读耐力。	<b>作文可用</b>：Traditional culture may seem old, but it is nonetheless capable of inspiring modern creativity. 译：传统文化看似古老，但仍能激发现代创造力。	外刊精读
vital processes	<b>核心意思</b>：关键过程；维持生命或系统运转的重要过程。<br><b>原文句</b>：Many of the 473 genes were known to be involved in obviously vital processes, such as copying DNA, making new proteins, metabolising food and so on.<br>译：这 473 个基因中有许多已知参与显然至关重要的过程，比如复制 DNA、制造新蛋白质、代谢食物等。<br><b>怎么记</b>：vital = essential/necessary，不是“充满活力的”时，要译为“至关重要的”。<br><b>怎么考</b>：翻译和阅读中常与 role, process, function, interest 搭配。<br><b>真实例句</b>：<br>1. Trust plays a vital role in international cooperation. 译：信任在国际合作中发挥着至关重要的作用。<br>2. Regular exercise supports vital processes in the human body. 译：规律运动支持人体的重要生理过程。	<b>作文可用</b>：Education plays a vital role in shaping responsible citizens. 译：教育在塑造负责任公民方面发挥着至关重要的作用。	外刊精读
from the bottom up	<b>核心意思</b>：自下而上；从基本部件开始搭建。<br><b>原文句</b>：Dr Adamala worked from the bottom up rather than the top down.<br>译：Adamala 博士采用的是自下而上的方法，而不是自上而下。<br><b>怎么记</b>：bottom-up 强调从基础单元开始；top-down 强调从现有整体或上层设计开始。<br><b>怎么考</b>：常考方法对比，尤其在科技、治理、教育改革文章中。<br><b>真实例句</b>：<br>1. A bottom-up approach allows communities to design local solutions. 译：自下而上的方法让社区能够设计本地解决方案。<br>2. Innovation often grows from the bottom up rather than from official plans. 译：创新常常自下而上生长，而不是来自官方计划。	<b>作文可用</b>：Real educational reform should grow from the bottom up as well as from policy design. 译：真正的教育改革既应来自政策设计，也应自下而上生长。	外刊精读
inanimate bubbles of fatty membrane	<b>核心意思</b>：由脂肪膜构成的无生命小泡。<br><b>原文句</b>：Instead of asking what genes an existing cell could do without, she added genes whose functions were known to inanimate bubbles of fatty membrane called liposomes.<br>译：她没有去问一个现有细胞可以缺少哪些基因，而是把功能已知的基因加入一种叫脂质体的、由脂肪膜构成的无生命小泡中。<br><b>怎么记</b>：inanimate = not alive；fatty membrane = 脂质/脂肪膜。整块是科技说明中的名词串。<br><b>怎么考</b>：训练名词串拆解：先找中心词 bubbles，再逐层前置修饰。<br><b>真实例句</b>：<br>1. The machine sorted inanimate objects from biological samples. 译：这台机器把无生命物体和生物样本分开。<br>2. A fatty membrane can separate a cell from its environment. 译：脂质膜可以把细胞与外部环境隔开。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
leave no room for mysteries	<b>核心意思</b>：不留下谜团；不给未知因素留下空间。<br><b>原文句</b>：Everything the resulting cells do, they do because of molecules that Dr Adamala's team put there. That leaves no room for mysteries.<br>译：所得细胞所做的一切，都是因为 Adamala 博士团队放入其中的分子。这就不留下谜团了。<br><b>怎么记</b>：leave room for = 给……留下空间；no room for = 没有余地。<br><b>怎么考</b>：可用于理解作者对新方法的评价：机制更透明、可解释。<br><b>真实例句</b>：<br>1. Clear rules leave no room for arbitrary decisions. 译：清晰的规则不会给任意决策留下空间。<br>2. Transparent data leave no room for false claims about public health. 译：透明的数据不会给关于公共卫生的虚假说法留下空间。	<b>作文可用</b>：Transparent governance can leave no room for corruption or arbitrary power. 译：透明治理可以让腐败或任意权力无处藏身。	外刊精读
fold in on itself	<b>核心意思</b>：向内折叠；自身向内收拢。<br><b>原文句</b>：If enough big proteins--more or less any big proteins--stick to the outside of a liposome it will fold in on itself and become two smaller liposomes.<br>译：如果足够多的大蛋白质，几乎任何大蛋白质，黏附在脂质体外部，它就会向内折叠，变成两个更小的脂质体。<br><b>怎么记</b>：fold = 折叠；in on itself 表示朝自身内部收拢。<br><b>怎么考</b>：主要是科技过程理解词，帮助看懂细胞分裂机制。<br><b>真实例句</b>：<br>1. The soft material folded in on itself under pressure. 译：这种柔软材料在压力下向内折叠。<br>2. The old market folded in on itself when buyers suddenly disappeared. 译：当买家突然消失时，旧市场自我收缩。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
express a protein	<b>核心意思</b>：表达一种蛋白质；使基因信息转化为蛋白质。<br><b>原文句</b>：The genomes inside the SpudCells express a protein which inserts itself into their outer membranes and attracts big proteins in the medium in which the cells grow.<br>译：SpudCells 内部的基因组会表达一种蛋白质，这种蛋白质会嵌入其外膜，并吸引细胞生长介质中的大蛋白质。<br><b>怎么记</b>：express 在生物学中不是“表达观点”，而是 gene expression 的“表达”。<br><b>怎么考</b>：熟词僻义：科技阅读里 express + protein/gene 要按生物学义理解。<br><b>真实例句</b>：<br>1. This gene expresses a protein that helps repair damaged tissue. 译：这个基因表达一种有助于修复受损组织的蛋白质。<br>2. Some bacteria express proteins that allow them to survive antibiotics. 译：一些细菌会表达使其能抵抗抗生素的蛋白质。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
medium in which cells grow	<b>核心意思</b>：细胞生长的培养基/介质。<br><b>原文句</b>：The genomes inside the SpudCells express a protein which inserts itself into their outer membranes and attracts big proteins in the medium in which the cells grow.<br>译：SpudCells 内部的基因组会表达一种蛋白质，这种蛋白质会嵌入其外膜，并吸引细胞生长介质中的大蛋白质。<br><b>怎么记</b>：medium 可指媒介、介质、培养基，不只是“媒体”。in which 引导定语从句。<br><b>怎么考</b>：熟词僻义和定语从句定位；翻译按专业语境选“介质/培养基”。<br><b>真实例句</b>：<br>1. The cells failed to grow because the medium lacked nutrients. 译：由于培养基缺少营养物质，细胞未能生长。<br>2. Social media have become the medium through which many people receive news. 译：社交媒体已成为许多人获取新闻的媒介。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
not quite	<b>核心意思</b>：还不完全是；不算完全如此。<br><b>原文句</b>：This does not mean the cells are alive--or at least, not quite.<br>译：这并不意味着这些细胞是活的，或者至少还不完全算是。<br><b>怎么记</b>：not quite 比 no 更委婉，表示概念边界上的保留。<br><b>怎么考</b>：态度题常体现谨慎限定；翻译要保留“不完全”的语气。<br><b>真实例句</b>：<br>1. The reform is progress, but not quite a solution. 译：这项改革是一种进步，但还不完全是解决方案。<br>2. Online learning is useful, but not quite a substitute for classroom interaction. 译：在线学习有用，但还不能完全替代课堂互动。	<b>作文可用</b>：Technology can improve education, but it is not quite a substitute for teachers. 译：技术可以改善教育，但并不能完全替代教师。	外刊精读
turn information into proteins	<b>核心意思</b>：把信息转化为蛋白质。<br><b>原文句</b>：They can produce only some of the molecules needed to take information in from their genes and turn it into proteins.<br>译：它们只能产生一部分分子，而这些分子是从基因中读取信息并将其转化为蛋白质所必需的。<br><b>怎么记</b>：turn A into B = 把 A 转化为 B；这里抽象信息变成生物产物。<br><b>怎么考</b>：翻译长句时抓 needed to do A and do B 的并列目的。<br><b>真实例句</b>：<br>1. Good teachers turn information into understanding. 译：优秀教师把信息转化为理解。<br>2. Factories turn raw materials into useful products. 译：工厂把原材料转化为有用产品。	<b>作文可用</b>：Education should turn information into judgement, not merely into test scores. 译：教育应把信息转化为判断力，而不仅仅是分数。	外刊精读
merge with	<b>核心意思</b>：与……融合；并入。<br><b>原文句</b>：They grow only because they are fed a diet of nutritious but DNA-free "feeder" liposomes with which they can merge.<br>译：它们之所以能生长，只是因为被喂食一种营养丰富但不含 DNA 的“供给”脂质体，而它们可以与这些脂质体融合。<br><b>怎么记</b>：merge with 多指公司、组织、细胞或系统融合；注意介词 with。<br><b>怎么考</b>：经济和科技阅读都高频；翻译成“合并/融合”取决于语境。<br><b>真实例句</b>：<br>1. Two small schools merged with a larger institution to share resources. 译：两所小学校并入一所更大的机构以共享资源。<br>2. The start-up merged with a rival after funding dried up. 译：资金枯竭后，这家初创企业与竞争对手合并。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
promoters	<b>核心意思</b>：启动子；促进某过程的因素或支持者。<br><b>原文句</b>：If you start off with a population in which some cells have genetic "promoters", which boost their production of the protein needed for merging with food-parcel liposomes, then after a few generations that variant becomes the dominant form.<br>译：如果一开始的细胞群中有些细胞带有遗传“启动子”，它们会提高用于和食物包裹脂质体融合的蛋白质产量，那么几代之后，这种变体就会成为主导形式。<br><b>怎么记</b>：promote = 促进；promoter 可指“推动者”，在基因语境中是“启动子”。<br><b>怎么考</b>：熟词派生义；题目可能用 enhance/boost 替换 promote。<br><b>真实例句</b>：<br>1. Cultural promoters helped bring traditional music to younger audiences. 译：文化推广者帮助传统音乐走向年轻观众。<br>2. A genetic promoter can increase the production of a useful protein. 译：基因启动子可以提高有用蛋白质的产量。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
boost production	<b>核心意思</b>：提高产量/产出；增强生产。<br><b>原文句</b>：If you start off with a population in which some cells have genetic "promoters", which boost their production of the protein needed for merging with food-parcel liposomes, then after a few generations that variant becomes the dominant form.<br>译：如果一开始的细胞群中有些细胞带有遗传“启动子”，它们会提高用于和食物包裹脂质体融合的蛋白质产量，那么几代之后，这种变体就会成为主导形式。<br><b>怎么记</b>：boost = increase strongly，常搭配 production, confidence, growth, demand。<br><b>怎么考</b>：完形常考动宾搭配；boost 比 increase 更有“推动、拉升”意味。<br><b>真实例句</b>：<br>1. Better infrastructure can boost production in rural areas. 译：更好的基础设施可以提高农村地区的产出。<br>2. Praise can boost children's confidence when it is specific and sincere. 译：具体而真诚的表扬可以增强孩子的信心。	<b>作文可用</b>：Public investment can boost green innovation and create new jobs. 译：公共投资可以促进绿色创新并创造新就业。	外刊精读
dominant form	<b>核心意思</b>：主导形式；占优势的类型。<br><b>原文句</b>：If you start off with a population in which some cells have genetic "promoters", which boost their production of the protein needed for merging with food-parcel liposomes, then after a few generations that variant becomes the dominant form.<br>译：如果一开始的细胞群中有些细胞带有遗传“启动子”，它们会提高用于和食物包裹脂质体融合的蛋白质产量，那么几代之后，这种变体就会成为主导形式。<br><b>怎么记</b>：dominant = most powerful/common/influential；form = 类型/形式。<br><b>怎么考</b>：阅读中常考趋势变化：某一变体如何成为主流。<br><b>真实例句</b>：<br>1. Online payment has become the dominant form of transaction in many cities. 译：在线支付已成为许多城市的主流交易方式。<br>2. English remains a dominant form of communication in global science. 译：英语仍是全球科学领域的主导交流形式。	<b>作文可用</b>：Digital learning is becoming a dominant form of education for many adults. 译：数字化学习正成为许多成年人教育的主导形式。	外刊精读
lacking ancestors	<b>核心意思</b>：由于没有祖先；缺乏自然来源。<br><b>原文句</b>：The problem with SpudCells is that, lacking ancestors, they are hard to make.<br>译：SpudCells 的问题在于，由于没有祖先，它们很难制造。<br><b>怎么记</b>：lacking 是现在分词作原因状语；ancestor 在这里指生物来源/前代。<br><b>怎么考</b>：长难句中常考分词状语，先补成 because they lack ancestors。<br><b>真实例句</b>：<br>1. Lacking reliable data, officials delayed the decision. 译：由于缺乏可靠数据，官员推迟了决定。<br>2. Lacking family support, many students rely on part-time work. 译：由于缺乏家庭支持，许多学生依靠兼职工作。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
researcher-years of work	<b>核心意思</b>：以研究人员年数计的工作量；多名研究者累计多年劳动。<br><b>原文句</b>：Dr Adamala's preprint is, she says, the result of roughly five researcher-years of work.<br>译：Adamala 博士说，她的预印本大约是五个研究人员年工作量的结果。<br><b>怎么记</b>：类似 man-hours/person-years，表示投入规模，不是自然年。<br><b>怎么考</b>：细节题可能考研究难度和成本；翻译时译出“累计工作量”。<br><b>真实例句</b>：<br>1. The vaccine project required hundreds of researcher-years of work. 译：这个疫苗项目需要数百个研究人员年的工作量。<br>2. Building a reliable language database may take many researcher-years of work. 译：建立可靠的语言数据库可能需要许多研究人员年的工作量。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
not-for-profit research organisation	<b>核心意思</b>：非营利研究组织。<br><b>原文句</b>：This is why she and some colleagues are also launching a not-for-profit research organisation named Biotic.<br>译：这就是为什么她和一些同事还在创办一个名为 Biotic 的非营利研究组织。<br><b>怎么记</b>：not-for-profit 与 non-profit 接近，强调目的不是盈利；organisation 英式拼写。<br><b>怎么考</b>：社会责任、科研治理类文章高频；注意不要译为“不赚钱的公司”。<br><b>真实例句</b>：<br>1. A not-for-profit organisation provided free legal advice to workers. 译：一个非营利组织为工人提供免费法律咨询。<br>2. The city created a not-for-profit research organisation to study pollution. 译：这座城市成立了一个非营利研究组织来研究污染。	<b>作文可用</b>：A not-for-profit research organisation can make scientific progress serve public interest. 译：非营利研究组织可以让科学进步服务公共利益。	外刊精读
artisanal	<b>核心意思</b>：手工式的；依赖个人技艺、尚未标准化的。<br><b>原文句</b>：Most lab biology is artisanal.<br>译：大多数实验室生物学仍是手工艺式的。<br><b>怎么记</b>：artisan = 工匠；artisanal 常褒义为“手作”，但此处指不够标准化。<br><b>怎么考</b>：态度要看语境：这里不是赞美精致，而是说明难以规模化。<br><b>真实例句</b>：<br>1. Artisanal methods can produce quality, but they are hard to scale. 译：手工式方法可以产出质量，但很难扩大规模。<br>2. The clinic still relies on artisanal record-keeping instead of digital systems. 译：这家诊所仍依赖手工式记录，而不是数字系统。	<b>作文可用</b>：不建议作文使用，语境较窄。	外刊精读
standardise and automate	<b>核心意思</b>：使标准化并自动化。<br><b>原文句</b>：One of the purposes of Biotic (which stands for "Biology is open technology inspiring civilisation") is to standardise and automate things early on, in the hope of driving that demand and thus accelerating progress.<br>译：Biotic 的目的之一，是在早期就把相关工作标准化并自动化，希望借此带动需求，从而加速进展。<br><b>怎么记</b>：standardise = make consistent；automate = make machines/processes do it automatically。<br><b>怎么考</b>：科技和管理文章中的措施表达；常与 accelerate progress 构成因果链。<br><b>真实例句</b>：<br>1. Schools should standardise basic safety rules but avoid automating human care. 译：学校应标准化基本安全规则，但避免把人的关怀自动化。<br>2. Factories standardise and automate routine tasks to improve efficiency. 译：工厂将常规任务标准化并自动化以提高效率。	<b>作文可用</b>：Public services can be standardised and automated where efficiency matters. 译：在效率重要的领域，公共服务可以被标准化并自动化。	外刊精读
drive demand	<b>核心意思</b>：带动需求；推动需求增长。<br><b>原文句</b>：One of the purposes of Biotic (which stands for "Biology is open technology inspiring civilisation") is to standardise and automate things early on, in the hope of driving that demand and thus accelerating progress.<br>译：Biotic 的目的之一，是在早期就把相关工作标准化并自动化，希望借此带动需求，从而加速进展。<br><b>怎么记</b>：drive 在经济语境中常指“推动、驱动”，不是开车。<br><b>怎么考</b>：熟词僻义；阅读中常用于因果题，A drives B = A 推动 B。<br><b>真实例句</b>：<br>1. Falling prices can drive demand for electric cars. 译：价格下降可以带动电动汽车需求。<br>2. Better public libraries can drive demand for lifelong learning. 译：更好的公共图书馆可以推动终身学习需求。	<b>作文可用</b>：Digital infrastructure can drive demand for high-quality online education. 译：数字基础设施可以带动对高质量在线教育的需求。	外刊精读
easy to replicate	<b>核心意思</b>：容易复制；易于复现。<br><b>原文句</b>：The hope is that systems like Dr Adamala's become easy to replicate, and easy to tinker with and develop by adding similarly standardised modules.<br>译：他们希望像 Adamala 博士这样的系统变得容易复制，也容易通过加入同样标准化的模块来调试和开发。<br><b>怎么记</b>：replicate 可指复制、复现，科研中强调别人能重复做出同样结果。<br><b>怎么考</b>：科技阅读常考“可复制性”；写作可用于经验推广。<br><b>真实例句</b>：<br>1. A good teaching model should be easy to replicate in poorer schools. 译：好的教学模式应容易在较贫困学校复制。<br>2. Scientific findings are more reliable when they are easy to replicate. 译：科学发现如果容易复现，就更可靠。	<b>作文可用</b>：Successful environmental policies should be easy to replicate in other cities. 译：成功的环保政策应当容易在其他城市复制。	外刊精读
