#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研英语::外刊精读
rough guide	<b>核心意思</b>：粗略标准，粗略参考。<br><b>原文句</b>：Earlier proposals... looked to the amount of computing power used to train a model as a rough guide for when oversight was required. 译：早先方案把训练模型所使用的算力规模，作为判断何时需要监管的粗略标准。<br><b>怎么记</b>：rough = 不精确的，guide = 指引。<br><b>怎么考</b>：说明文中常用于区分“精确标准”和“近似标准”。<br><b>真实例句</b>：1. Test scores are only a rough guide to a child's ability. 译：考试分数只是判断孩子能力的粗略参考。<br>2. Income can be a rough guide to living standards, but it is not enough. 译：收入可以粗略反映生活水平，但并不充分。		外刊精读
sidestep the question	<b>核心意思</b>：避开问题，绕开争议。<br><b>原文句</b>：Sir Demis is proud of the "elegant" way that approach sidesteps the question of whether academic or open-source models should be included or not. 译：德米斯爵士对这种“优雅”的方法感到自豪，因为它避开了学术模型或开源模型是否应被纳入监管的问题。<br><b>怎么记</b>：side-step = 向旁边迈一步，引申为绕开。<br><b>怎么考</b>：判断政策设计如何处理争议。<br><b>真实例句</b>：1. The new rule sidesteps the question of who should pay for the service. 译：新规则避开了谁应为服务付费的问题。<br>2. A good compromise can sidestep a political dispute without ignoring the problem. 译：好的妥协可以绕开政治争议，同时不忽视问题。		外刊精读
set a safety threshold	<b>核心意思</b>：设定安全门槛。<br><b>原文句</b>：...are rarely examined in a systematic way that could be used to set a safety threshold. 译：这些特征很少以系统方式进行检测，而这种检测本可以用于设定安全门槛。<br><b>怎么记</b>：threshold 是门槛，达到后触发监管。<br><b>怎么考</b>：科技治理、公共安全文章中的核心搭配。<br><b>真实例句</b>：1. Governments should set a safety threshold before new drugs reach the market. 译：政府应在新药上市前设定安全门槛。<br>2. Online platforms need clear thresholds for harmful content. 译：网络平台需要为有害内容设定清晰门槛。	<b>作文可用</b>：A clear safety threshold can balance innovation and public protection.	外刊精读
fractious	<b>核心意思</b>：易争吵的，分裂严重的。<br><b>原文句</b>：Securing support from within the increasingly fractious AI community will not be easy... 译：要在日益分裂的 AI 社群内部争取支持并不容易。<br><b>怎么记</b>：fract- 有“破裂”意味，如 fracture 骨折。<br><b>怎么考</b>：态度词，描述群体内部不团结。<br><b>真实例句</b>：1. A fractious committee may fail to agree on urgent reforms. 译：一个争执不断的委员会可能无法就紧急改革达成一致。<br>2. Public debate becomes fractious when trust is low. 译：当信任不足时，公共讨论会变得分裂而激烈。		外刊精读
No proposal is immune to poor execution	<b>原文句</b>："No proposal would be immune to being executed poorly," Sir Demis admits. 译：德米斯爵士承认：“没有任何方案能够免于执行不当的风险。”<br><b>表达功能</b>：承认方案风险，体现让步。<br><b>可复用句型</b>：No proposal/policy/reform is immune to poor execution, but A may be riskier than B.<br><b>考研作文成句</b>：No policy is immune to poor execution, but doing nothing about online misinformation may be even riskier. 译：没有任何政策能够免于执行不当的风险，但对网络虚假信息无所作为可能更危险。	<b>适配话题</b>：科技治理、教育改革、环境政策、公共安全。<br><b>替换槽位</b>：policy = reform/measure/rule; online misinformation = pollution/academic pressure/data abuse。<br><b>多场景改写</b>：1. No education reform is immune to poor execution, but refusing to reduce excessive pressure may be worse. 译：没有任何教育改革能够免于执行不当的风险，但拒绝减轻过度压力可能更糟。<br>2. No climate policy is immune to poor execution, but delay would deepen the crisis. 译：没有任何气候政策能够免于执行不当的风险，但拖延会加深危机。<br>3. No technology rule is immune to poor execution, but a total absence of rules would leave users exposed. 译：没有任何科技规则能够免于执行不当的风险，但完全没有规则会让用户暴露在风险中。<br><b>常见错误</b>：immune 后接 to，不接 from。<br><b>记忆抓手</b>：immune to = 对...免疫。	外刊精读
short-lived decision	<b>核心意思</b>：短暂存在的决定，临时性决定<br><b>原文句</b>：The American government's short-lived decision to withhold foreigners' access to Fable, a whizzy AI model from Anthropic, reflected not just a desire for control over the technology but also fear of the dangers it could pose in the wrong hands. 译：美国政府曾短暂决定限制外国人使用 Anthropic 的先进 AI 模型 Fable，这不仅反映出控制技术的愿望，也反映出它担心这项技术落入不当之手后可能带来的危险。<br><b>怎么记</b>：short-lived = 活得短，引申为持续时间短。<br><b>怎么考</b>：细节题和态度题中提示政策短暂、临时、可能被撤回。<br><b>真实例句</b>：1. The short-lived decision created uncertainty for students and parents. 译：这项短暂的决定给学生和家长带来了不确定性。<br>2. A short-lived ban may still have long-term effects. 译：一项短暂的禁令仍可能产生长期影响。		外刊精读
sketch out proposals	<b>核心意思</b>：概略提出方案，勾勒提案<br><b>原文句</b>：Sir Demis has sketched out proposals for AI regulation in the past. 译：德米斯爵士过去曾提出过 AI 监管方案。<br><b>怎么记</b>：sketch 是速写，sketch out 是先画出大致轮廓。<br><b>怎么考</b>：常用于政策、计划、观点的初步提出。<br><b>真实例句</b>：1. The report sketches out proposals for cleaner urban transport. 译：报告概略提出了更清洁城市交通的方案。<br>2. Researchers sketched out a plan to improve public health services. 译：研究人员勾勒出改善公共卫生服务的计划。	<b>合并说明</b>：由用户词 `sketched out` 归一化为动词短语 `sketch out proposals`。	外刊精读
elaborate on sth	<b>核心意思</b>：详细阐述，进一步说明<br><b>原文句</b>：His latest attempt, published online on July 14th and elaborated in an interview with The Economist, is more concrete. 译：他最新的一次尝试于 7 月 14 日在线发布，并在接受《经济学人》采访时进一步阐述，比过去更具体。<br><b>怎么记</b>：elaborate 作动词时重音靠后，常接 on。<br><b>怎么考</b>：阅读中常表示作者/专家对观点进行展开说明。<br><b>真实例句</b>：1. The professor elaborated on the causes of youth anxiety. 译：教授详细阐述了青年焦虑的原因。<br>2. The article elaborates on why sleep matters for learning. 译：文章进一步说明了睡眠为何对学习重要。		外刊精读
take inspiration from	<b>核心意思</b>：从...中获得灵感，借鉴<br><b>原文句</b>：Instead, Sir Demis suggests taking inspiration from FINRA, the Financial Industry Regulatory Authority, a private agency in America that regulates brokers and stock markets. 译：因此，德米斯爵士建议借鉴 FINRA，即美国金融业监管局。<br><b>怎么记</b>：inspiration 是灵感，take inspiration from 比 copy 更柔和。<br><b>怎么考</b>：写作中可用于制度、教育、科技方案借鉴。<br><b>真实例句</b>：1. Cities can take inspiration from successful recycling programmes. 译：城市可以借鉴成功的回收项目。<br>2. Schools may take inspiration from workplaces that encourage collaboration. 译：学校可以借鉴鼓励合作的工作场所。	<b>作文可用</b>：A can take inspiration from B without copying it blindly.	外刊精读
end up mandatory	<b>核心意思</b>：最终变成强制性的<br><b>原文句</b>：Although Sir Demis thinks the scheme should initially be voluntary for model-makers, his expectation is that it will end up mandatory. 译：虽然德米斯爵士认为，该机制一开始应由模型开发者自愿加入，但他预计最终会变成强制性制度。<br><b>怎么记</b>：end up + adj. 表示“最后变成某种状态”。<br><b>怎么考</b>：注意 voluntary 与 mandatory 的对比。<br><b>真实例句</b>：1. A voluntary code may end up mandatory if risks continue to grow. 译：如果风险继续增长，自愿准则最终可能变成强制性的。<br>2. Online identity checks could end up mandatory in some services. 译：在某些服务中，网络身份核验最终可能变成强制性的。		外刊精读
delegate sth to sb	<b>核心意思</b>：把某权力或任务委托/授权给某人或机构<br><b>原文句</b>：FINRA, by way of example, has hard enforcement powers delegated to it by the state. 译：以 FINRA 为例，它拥有国家授权的强制执法权。<br><b>怎么记</b>：delegate 与 authority/power/task 常搭配。<br><b>怎么考</b>：政策细节题中常考权力来源和执行主体。<br><b>真实例句</b>：1. The government delegated inspection powers to a local agency. 译：政府把检查权授权给地方机构。<br>2. A manager should delegate routine tasks to trained staff. 译：管理者应把常规任务委派给受过训练的员工。	<b>合并说明</b>：原文是被动结构 `powers delegated to it by the state`。	外刊精读
designate X as Y	<b>核心意思</b>：把 X 指定/认定为 Y<br><b>原文句</b>：The creators of those models would then be designated as "frontier labs", placing extra responsibilities on them. 译：这些模型的开发者随后会被认定为“前沿实验室”，并承担额外责任。<br><b>怎么记</b>：designate 强调正式认定或指定。<br><b>怎么考</b>：制度分类、资格认定、政策标签类文章常见。<br><b>真实例句</b>：1. The city designated the area as a protected green zone. 译：该市把这个区域指定为受保护绿地。<br>2. The school designated Friday as a day for independent reading. 译：学校把周五指定为自主阅读日。		外刊精读
Nobel laureate	<b>核心意思</b>：诺贝尔奖得主<br><b>原文句</b>：Yet the Nobel laureate argues that urgent action is required. 译：不过，这位诺贝尔奖得主认为，必须采取紧急行动。<br><b>怎么记</b>：laureate 指获奖者，Nobel laureate 是固定搭配。<br><b>怎么考</b>：人物身份信息，常用于说明观点权威来源。<br><b>真实例句</b>：1. The Nobel laureate warned that science needs public trust. 译：这位诺贝尔奖得主警告说，科学需要公众信任。<br>2. A Nobel laureate can influence debates far beyond the laboratory. 译：诺贝尔奖得主能影响实验室之外更广泛的讨论。		外刊精读
come down the line	<b>核心意思</b>：将来出现，随后到来<br><b>原文句</b>：We've seen the cyber threat; there's much more serious threats coming down the line. 译：我们已经看到了网络威胁；接下来还会有更严重的威胁。<br><b>怎么记</b>：line 可理解为时间线，come down the line 是沿时间线到来。<br><b>怎么考</b>：预测风险、未来趋势类语境。<br><b>真实例句</b>：1. More challenges will come down the line as cities grow older. 译：随着城市老化，更多挑战会陆续出现。<br>2. Students should prepare for the changes coming down the line. 译：学生应为将要到来的变化做好准备。		外刊精读
