#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::真题词汇
bizarre	<b>核心意思</b>：adj. 离奇的；怪诞的；极不寻常的<br><b>原文句</b>：It is bizarre that wealthy aristocratic families should still be the symbolic heart of modern democratic states.<br>译：富有的贵族家庭竟然仍是现代民主国家的象征核心，这十分荒诞。<br><b>怎么记</b>：比 strange 语气更强，常体现惊讶或批评。<br><b>怎么考</b>：`It is bizarre that... should...` 中 should 表“竟然”。<br><b>真实例句</b>：It seems bizarre that such an outdated rule still exists.<br>译：如此过时的规定竟然仍然存在，显得十分荒诞。		真题词汇
aristocratic	<b>核心意思</b>：adj. 贵族的；贵族式的<br><b>原文句</b>：The most successful monarchies strive to abandon or hide their old aristocratic ways.<br>译：最成功的君主制国家努力摒弃或隐藏其古老的贵族作风。<br><b>怎么记</b>：aristocracy“贵族阶层”→ aristocratic；与 democratic 对照。<br><b>怎么考</b>：注意它可描述家族、生活方式或价值观，不只描述身份。<br><b>真实例句</b>：The building was once owned by an aristocratic family.<br>译：这座建筑曾属于一个贵族家庭。		真题词汇
strive to do sth	<b>核心意思</b>：努力做某事<br><b>原文句</b>：The most successful monarchies strive to abandon or hide their old aristocratic ways.<br>译：最成功的君主制国家努力摒弃或隐藏其古老的贵族作风。<br><b>怎么记</b>：strive–strove–striven；常接 to do 或 for sth。<br><b>怎么考</b>：比 try 更正式、更强调持续努力，适合写作。<br><b>真实例句</b>：Society should strive to provide equal opportunities for all.<br>译：社会应努力为所有人提供平等机会。	<b>作文可用</b>：strive to achieve a balance between A and B。	真题词汇
granny style	<b>核心意思</b>：老奶奶式的朴素风格<br><b>原文句</b>：It is only the Queen who has preserved the monarchy's reputation with her rather ordinary, if well-heeled, granny style.<br>译：只有女王凭借相当普通——尽管生活优裕——的老奶奶式风格维护了王室声誉。<br><b>怎么记</b>：granny 是非正式的 grandmother；这里不是年龄事实，而是朴素亲民的形象。<br><b>怎么考</b>：`ordinary, if well-heeled` 是让步：虽富裕，却显得普通。<br><b>真实例句</b>：Her warm cardigan gave her a familiar granny style.<br>译：她温暖的开衫让她显得有一种亲切的老奶奶风格。	<b>合并说明</b>：用户词 granny 归入真题词块 granny style。	真题词汇
everlasting	<b>核心意思</b>：adj. 永久的；持久的<br><b>原文句</b>：[补充语境] No political institution can rely on everlasting public support.<br>译：【补充语境】任何政治制度都不能依赖永久不变的公众支持。<br><b>怎么记</b>：ever + lasting＝永远持续的；语气强，接近 eternal。<br><b>怎么考</b>：2015阅读选项中的绝对化表达；原文只说明持续受欢迎，不等于 everlasting。<br><b>真实例句</b>：The agreement did not bring everlasting peace.<br>译：这项协议并未带来永久和平。		真题词汇
nobility	<b>核心意思</b>：n. 贵族阶层；高尚品质<br><b>原文句</b>：[补充语境] The role of the nobility in modern democracies remains controversial.<br>译：【补充语境】贵族阶层在现代民主国家中的作用仍有争议。<br><b>怎么记</b>：noble 可指贵族的或高尚的；nobility 相应有“贵族阶层”和“高尚”两义。<br><b>怎么考</b>：2015阅读选项词；结合 monarchy 语境取“贵族阶层”。<br><b>真实例句</b>：The novel examines the declining influence of the nobility.<br>译：这部小说探讨贵族阶层影响力的衰落。		真题词汇
possessions	<b>核心意思</b>：n. 财物；所有物<br><b>原文句</b>：California asked the justices to avoid a broad ruling that upset the assumption that authorities may search suspects' possessions at the time of arrest.<br>译：加州要求大法官避免作出宽泛裁决，以免推翻当局可在逮捕时搜查嫌疑人随身物品的旧有假设。<br><b>怎么记</b>：possess“拥有”→ possession；个人财物通常用复数 possessions。<br><b>怎么考</b>：不要只记抽象的“拥有”；在法律语境中指随身物品。<br><b>真实例句</b>：Passengers should keep their possessions with them at all times.<br>译：乘客应始终保管好自己的随身物品。		真题词汇
reckless / recklessly	<b>核心意思</b>：adj. 鲁莽的 / adv. 鲁莽地、不顾后果地<br><b>原文句</b>：The court would be recklessly modest if it followed California's advice.<br>译：如果法院听从加州的建议，那将是一种鲁莽的克制。<br><b>怎么记</b>：reckless＝不考虑风险；recklessly 修饰 modest，形成带批评意味的反常搭配。<br><b>怎么考</b>：作者认为“不裁决”并非谨慎，而是过度保守造成的鲁莽。<br><b>真实例句</b>：It is reckless to ignore clear warnings about public safety.<br>译：无视有关公共安全的明确警告是鲁莽的。	<b>合并说明</b>：用户列形容词 reckless；真题正文使用副词 recklessly。	真题词汇
implication	<b>核心意思</b>：n. 可能的影响、后果；含意<br><b>原文句</b>：It is hard, the state argues, for judges to assess the implications of new and rapidly changing technologies.<br>译：加州辩称，法官很难评估快速变化的新技术所产生的影响。<br><b>怎么记</b>：implicate 的相关名词；常用复数 implications 表示潜在后果。<br><b>怎么考</b>：`implication of/for` 可考介词；阅读中也可指未明说的含意。<br><b>真实例句</b>：The policy has serious implications for social equality.<br>译：这项政策会对社会平等产生严重影响。		真题词汇
discernible	<b>核心意思</b>：adj. 可辨别的；看得出的<br><b>原文句</b>：Enough of the implications are discernable, even obvious, so the justices can and should provide updated guidelines.<br>译：足够多的影响已经可以辨明，甚至十分明显，因此大法官能够且应当提供更新后的指导原则。<br><b>怎么记</b>：discern＝辨别；discernible＝能够被辨别的。<br><b>怎么考</b>：discernable 也是可见拼法，但 discernible 更常见、更适合规范记忆。<br><b>真实例句</b>：A clear pattern is discernible in the latest data.<br>译：最新数据中可以辨认出一个清晰模式。	<b>合并说明</b>：真题电子版写 discernable；卡片正面采用更常见拼写 discernible。	真题词汇
lame argument	<b>核心意思</b>：站不住脚的论点；蹩脚的辩解<br><b>原文句</b>：They should start by discarding California's lame argument that exploring a smartphone is similar to going through a suspect's purse.<br>译：他们首先应摒弃加州那个站不住脚的论点，即查看智能手机内容类似于搜查嫌疑人的手提包。<br><b>怎么记</b>：lame 本义“跛的”，口语引申为无说服力、蹩脚的。<br><b>怎么考</b>：态度词：lame 直接表明作者否定该论证。<br><b>真实例句</b>：The claim rests on a lame argument unsupported by evidence.<br>译：这一主张建立在一个缺乏证据、站不住脚的论点上。	<b>合并说明</b>：用户词 lame 归入真题搭配 lame argument。	真题词汇
purse	<b>核心意思</b>：n. 手提包；钱包<br><b>原文句</b>：California compared exploring the contents of a smartphone to going through a suspect's purse.<br>译：加州把查看智能手机内容比作搜查嫌疑人的手提包。<br><b>怎么记</b>：美式英语 purse 常指女式手提包；英国英语也可指小钱包。<br><b>怎么考</b>：原文用 purse 与海量数字信息对比，突出类比失当。<br><b>真实例句</b>：She kept her phone and keys in her purse.<br>译：她把手机和钥匙放在手提包里。		真题词汇
line-drawing	<b>核心意思</b>：n. 划定界限；界线判定<br><b>原文句</b>：As so often is the case, stating that principle does not ease the challenge of line-drawing.<br>译：情况往往如此：陈述原则并不能降低划定具体界限的难度。<br><b>怎么记</b>：line + drawing 不是画线，而是把原则落实为边界。<br><b>怎么考</b>：法律和政策语境高频，指决定规则适用于哪里、不适用于哪里。<br><b>真实例句</b>：Regulating online speech involves difficult line-drawing.<br>译：监管网络言论涉及困难的界线划定。		真题词汇
overly burdensome	<b>核心意思</b>：过于繁重的；造成过重负担的<br><b>原文句</b>：In many cases, it would not be overly burdensome for authorities to obtain a warrant to search through phone contents.<br>译：在许多情况下，要求当局取得搜查手机内容的令状并不会造成过重负担。<br><b>怎么记</b>：burden“负担”→ burdensome；overly 表“过度地”。<br><b>怎么考</b>：`not overly burdensome` 是程度受限的否定，不能扩大为 completely effortless。<br><b>真实例句</b>：The application process should not be overly burdensome for small businesses.<br>译：申请流程不应给小企业造成过重负担。	<b>作文可用</b>：用于评估政策成本与执行难度。	真题词汇
invalidate	<b>核心意思</b>：v. 使无效；推翻；削弱效力<br><b>原文句</b>：Authorities could still invalidate Fourth Amendment protections when facing severe and urgent circumstances.<br>译：面对严重而紧急的情况，当局仍可使《第四修正案》的保护失效。<br><b>怎么记</b>：in- 否定 + valid“有效的”＝使失去效力。<br><b>怎么考</b>：常搭配 law、claim、result、protection；注意不同语境下可译为推翻或使无效。<br><b>真实例句</b>：A serious methodological flaw may invalidate the study's conclusions.<br>译：严重的方法缺陷可能使研究结论失效。		真题词汇
swallow an argument whole	<b>核心意思</b>：全盘接受一个论点<br><b>原文句</b>：But the justices should not swallow California's argument whole.<br>译：但大法官不应全盘接受加州的论点。<br><b>怎么记</b>：swallow 本义“吞咽”；swallow a story/claim 表示轻信，whole 强调毫无保留。<br><b>怎么考</b>：熟词生义与态度词：作者要求质疑，而非照单全收。<br><b>真实例句</b>：Readers should not swallow every online claim whole.<br>译：读者不应全盘相信网上的每一种说法。	<b>合并说明</b>：用户词 swallow 归入真题完整词块 swallow an argument whole。	真题词汇
sort out	<b>核心意思</b>：理清；解决；整理<br><b>原文句</b>：The justices must sort out how the Fourth Amendment applies to digital information now.<br>译：大法官现在必须理清《第四修正案》如何适用于数字信息。<br><b>怎么记</b>：sort 是分类；sort out 引申为把混乱问题理顺并解决。<br><b>怎么考</b>：可接名词或 how/what 从句；语气比 solve 更口语、更强调梳理。<br><b>真实例句</b>：The committee needs to sort out how the new rules will be enforced.<br>译：委员会需要理清新规定将如何执行。		真题词汇
