#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::05呼吸机能
#tags column:4
呼吸的定义是什么？	机体与外界环境之间摄取氧、排出二氧化碳的气体交换过程。		运动生理学 呼吸机能 概念
哪些外周传入信息可反射性调节运动呼吸？	来自肺、呼吸肌、关节、肌腱等感受器的信息。	本体感受器活动有助于运动初期通气增加。	运动生理学 呼吸机能 呼吸调节 反射
呼吸化学调节主要感受哪些变量？	二氧化碳、氢离子和氧分压。		运动生理学 呼吸机能 呼吸调节 化学感受器
二氧化碳和氢离子升高如何影响呼吸？	兴奋呼吸中枢，使呼吸加深加快。	促进排出二氧化碳并调节酸碱平衡。	运动生理学 呼吸机能 呼吸调节 化学调节
氧分压明显下降如何增强呼吸？	刺激外周化学感受器，反射性兴奋呼吸中枢。		运动生理学 呼吸机能 呼吸调节 化学调节
运动呼吸中神经调节与化学调节如何分工？	神经调节快速启动并前馈控制，化学调节根据代谢和血气变化持续修正。	上体机制题总结句。	运动生理学 呼吸机能 呼吸调节 大题框架
运动强度增加时呼吸深度和频率如何变化？	二者均增加，使肺通气量提高。	低中强度先以潮气量增加为主，较高强度频率增加更明显。	运动生理学 呼吸机能 运动反应
运动时肺换气为何增强？	肺通气和肺血流增加，通气—血流匹配改善。		运动生理学 呼吸机能 运动反应 肺换气
长期训练对呼吸肌有何影响？	提高呼吸肌力量和耐力。		运动生理学 呼吸机能 训练适应 呼吸肌
长期训练如何提高呼吸经济性？	使相同负荷下以更有效的呼吸深度和频率满足气体交换需要。	训练者相同负荷下反应更经济、恢复更快。	运动生理学 呼吸机能 训练适应
良好呼吸机能对运动和康复有什么意义？	提高有氧能力和运动耐受，延缓疲劳，维持酸碱平衡并促进恢复。	可用于运动处方强度与呼吸训练设计。	运动生理学 呼吸机能 运动意义 康复应用
试述运动时呼吸调节的完整机制链？	中枢前馈和本体感受器先启动通气→代谢增强使二氧化碳和氢离子增加→化学感受器持续调节→通气和换气增强→保障供氧、排碳和酸碱平衡。	适用于25/50分论述。	运动生理学 呼吸机能 大题框架 上体高频
