#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::神经系统机能
#tags column:4
神经组织由哪两类细胞构成？	神经元和神经胶质细胞。		运动生理学 神经系统机能 基础
反射弧中效应器作出哪些典型反应？	肌肉收缩或腺体分泌。		运动生理学 神经系统机能 反射弧
什么是中枢神经元的单线式联系？	一个突触前神经元只与一个突触后神经元联系。		运动生理学 神经系统机能 中枢联系
什么是中枢神经元的辐散式联系？	一个神经元通过轴突分支与多个神经元联系。	可使许多神经元同时兴奋或抑制。	运动生理学 神经系统机能 中枢联系
什么是中枢神经元的聚合式联系？	一个神经元接受多个神经元传来的信息。	使兴奋和抑制在同一神经元上整合。	运动生理学 神经系统机能 中枢联系
链锁式神经联系有什么功能意义？	使反射活动能够扩散或持续。		运动生理学 神经系统机能 中枢联系
环式神经联系有什么功能意义？	使兴奋循环并产生持续活动或后发放。		运动生理学 神经系统机能 中枢联系
兴奋在反射中枢传播时为何出现突触传递特点？	因为兴奋需要多次经过突触。	因此表现为单向传播、中枢延搁、总和、节律改变、后发放、易受内环境影响和易疲劳。	运动生理学 神经系统机能 中枢联系
交互抑制又称什么？属于哪类抑制？	又称传入侧支性抑制，属于突触后抑制。		运动生理学 神经系统机能 交互抑制
交互抑制的核心机制是什么？	传入纤维一方面兴奋某中枢神经元，另一方面经侧支兴奋抑制性中间神经元，抑制功能相反的中枢神经元。		运动生理学 神经系统机能 交互抑制 机制
伸肌肌梭传入引起交互抑制时，伸肌运动神经元如何变化？	被直接兴奋，使伸肌收缩。		运动生理学 神经系统机能 交互抑制 举例
伸肌肌梭传入引起交互抑制时，屈肌运动神经元如何变化？	经抑制性中间神经元受到抑制，使屈肌舒张。		运动生理学 神经系统机能 交互抑制 举例
交互抑制中主动肌与拮抗肌如何配合？	主动肌兴奋收缩，拮抗肌受到抑制并适度放松。	易失分点：不能只写“肌肉协调”，必须交代二者变化。	运动生理学 神经系统机能 交互抑制 辨析
交互抑制对动作协调有什么意义？	使关节运动方向明确，动作流畅、快速、准确且省力。	若拮抗肌不能适度放松，动作会僵硬、减速并增加耗能。	运动生理学 神经系统机能 交互抑制 意义
技术动作熟练对主动肌与拮抗肌的神经控制有何影响？	使二者兴奋与抑制的转换更精确。	表现为动作更省力、快速和协调。	运动生理学 神经系统机能 交互抑制 训练意义
牵张反射的定义是什么？	骨骼肌受到外力牵拉时，引起受牵拉的同一肌肉收缩的反射。	关键词：受牵拉的“同一肌肉”收缩。	运动生理学 神经系统机能 牵张反射
牵张反射的主要感受器是什么？	肌梭。		运动生理学 神经系统机能 牵张反射 肌梭
肌梭主要感受什么变化？	肌肉被牵拉及肌肉长度变化。	肌梭是长度感受器。	运动生理学 神经系统机能 牵张反射 肌梭
肌梭传入冲动如何引起被牵拉肌收缩？	兴奋同一肌肉的 α 运动神经元，引起梭外肌收缩。		运动生理学 神经系统机能 牵张反射 机制
牵张反射包括哪两种类型？	腱反射和肌紧张。		运动生理学 神经系统机能 牵张反射
腱反射由哪种牵拉方式引起？	快速牵拉肌腱。		运动生理学 神经系统机能 牵张反射 腱反射
腱反射的神经环路和潜伏期有什么特点？	属于单突触反射，潜伏期短。		运动生理学 神经系统机能 牵张反射 腱反射
膝反射的刺激和反应分别是什么？	叩击髌骨下方股四头肌肌腱，引起股四头肌短暂收缩。	属于腱反射。	运动生理学 神经系统机能 牵张反射 腱反射 举例
腱反射减弱或消失通常提示什么？	反射弧损害或中断。		运动生理学 神经系统机能 牵张反射 腱反射 应用
腱反射亢进可能提示什么？	高位中枢调控异常。		运动生理学 神经系统机能 牵张反射 腱反射 应用
肌紧张由哪种牵拉方式引起？	缓慢、持续牵拉肌腱。		运动生理学 神经系统机能 牵张反射 肌紧张
肌紧张的反应特点是什么？	受牵拉肌发生持续性轻度收缩，以阻止被拉长。		运动生理学 神经系统机能 牵张反射 肌紧张
肌紧张在姿势调节中的地位是什么？	是维持躯体姿势最基本的反射，也是姿势反射的基础。		运动生理学 神经系统机能 牵张反射 肌紧张
人体直立时，哪些肌群通过肌紧张对抗重力？	颈部、背部和下肢伸肌群。	帮助维持抬头、挺胸、伸腰和直立姿势。	运动生理学 神经系统机能 牵张反射 肌紧张 举例
腱反射与肌紧张在牵拉速度和反应形式上有何区别？	腱反射由快速牵拉引起短暂收缩；肌紧张由缓慢持续牵拉引起持续性轻度收缩。	腱反射为单突触；本章逐字稿的易失分提醒将肌紧张概括为多突触。	运动生理学 神经系统机能 牵张反射 辨析
牵张反射在运动中有哪些主要意义？	维持姿势、稳定关节、调节肌张力并提高动作反应速度。	常见于跑步、跳跃、负重、落地和保持平衡。	运动生理学 神经系统机能 牵张反射 意义
肌梭与腱器官感受的信息有何不同？	肌梭主要感受肌肉长度变化；腱器官主要感受肌肉张力。	长度感受器 vs 张力感受器。	运动生理学 神经系统机能 牵张反射 辨析
拉力过大时，腱器官如何保护肌肉和肌腱？	抑制同一肌肉的 α 运动神经元和牵张反射，避免过度牵拉损伤。	不要与肌梭引起的同肌收缩混淆。	运动生理学 神经系统机能 牵张反射 腱器官
状态反射的定义是什么？	头部空间位置改变时，反射性引起四肢肌张力重新调整的姿势反射。		运动生理学 神经系统机能 状态反射
状态反射包括哪两类？	迷路紧张反射和颈紧张反射。		运动生理学 神经系统机能 状态反射
迷路紧张反射的感受信息来自哪里？	内耳迷路中的椭圆囊、球囊等。	主要调节躯体伸肌紧张性。	运动生理学 神经系统机能 状态反射 迷路紧张反射
颈紧张反射的感受信息来自哪里？	颈部关节、韧带和肌肉的本体感受器。	主要调节四肢肌肉紧张性。	运动生理学 神经系统机能 状态反射 颈紧张反射
状态反射中，头部后仰时肌张力如何变化？	上下肢及背部伸肌紧张性加强。	头后仰 → 伸肌加强。	运动生理学 神经系统机能 状态反射 规律
状态反射中，头部前倾时伸肌张力如何变化？	上下肢及背部伸肌紧张性减弱。		运动生理学 神经系统机能 状态反射 规律
状态反射中，头部前倾时哪些肌群张力相对加强？	屈肌和腹肌。	头前倾 → 伸肌减弱，屈肌和腹肌相对加强。	运动生理学 神经系统机能 状态反射 规律
状态反射中，头部侧倾或扭转时同侧肢体如何变化？	同侧上下肢伸肌紧张性加强。		运动生理学 神经系统机能 状态反射 规律
状态反射中，头部侧倾或扭转时对侧肢体如何变化？	对侧上下肢伸肌紧张性减弱。	同侧伸肌加强，对侧伸肌减弱。	运动生理学 神经系统机能 状态反射 规律
正常人体的状态反射为什么通常不明显？	受到高级中枢调节和抑制。		运动生理学 神经系统机能 状态反射
短跑起跑采用低头姿势利用了什么状态反射规律？	头前倾使伸肌紧张减弱，可防止身体过早直立。		运动生理学 神经系统机能 状态反射 举例
体操空翻等动作中头位不正可能造成什么后果？	两臂用力不均，身体偏向一侧，导致动作失误。	体现状态反射对四肢肌张力的影响。	运动生理学 神经系统机能 状态反射 举例
运动训练应如何处理状态反射？	根据动作需要合理利用、抑制或改造状态反射。	例如自行车快速骑行需训练形成头后仰而身体前倾的姿势。	运动生理学 神经系统机能 状态反射 训练意义
翻正反射的定义是什么？	处于不正常体位时，通过一系列动作使体位恢复正常的反射。		运动生理学 神经系统机能 姿势反射 翻正反射
翻正反射依赖哪些感觉和中枢结构？	视觉、前庭迷路、本体感觉和脑干等。		运动生理学 神经系统机能 姿势反射 翻正反射
翻正反射在运动中的典型应用有哪些？	体操空翻转体、跳水转体和篮球转身等。	这些动作可在翻正反射基础上形成或利用其规律。	运动生理学 神经系统机能 姿势反射 翻正反射 举例
旋转运动反射的定义是什么？	主动或被动旋转时，为恢复正常体位而产生的反射活动。		运动生理学 神经系统机能 姿势反射 旋转运动反射
身体倾倒时，旋转运动反射如何维持平衡？	前庭感受器受刺激后，经中脑和延髓反射性调整全身肌张力。		运动生理学 神经系统机能 姿势反射 旋转运动反射
弯道跑时身体左倾，哪侧躯干肌张力会反射性增加？	躯干右侧。	用于维持姿势稳定。	运动生理学 神经系统机能 姿势反射 旋转运动反射 举例
直线运动反射的定义是什么？	直线加速或减速时，为维持姿势和平衡产生的反射活动。		运动生理学 神经系统机能 姿势反射 直线运动反射
直线运动反射包括哪两类？	升降反射和着地反射。		运动生理学 神经系统机能 姿势反射 直线运动反射
为什么要用滚翻等动作改造跌落时的先天反射？	直接用手撑地可能造成损伤，滚翻可更安全地缓冲冲击。	说明先天反射姿势未必总有利于运动安全。	运动生理学 神经系统机能 姿势反射 训练意义
脊髓在躯体运动调控中的地位是什么？	实现躯体运动的最低级中枢。		运动生理学 神经系统机能 运动调控 脊髓
为什么说脊髓前角运动神经元是躯体运动的“最后公路”？	高位中枢和外周感受器的信息最终在此整合，并由它发出冲动支配骨骼肌。		运动生理学 神经系统机能 运动调控 脊髓
脊髓可独立完成哪些基本躯体反射？	牵张反射、屈肌反射和对侧伸肌反射等。	正常情况下仍受高级中枢调控。	运动生理学 神经系统机能 运动调控 脊髓
脑干在运动控制中的主要作用是什么？	整合上下行信息，参与姿势反射、肌紧张调节和平衡维持。	在运动控制中起承上启下作用。	运动生理学 神经系统机能 运动调控 脑干
小脑如何实现运动误差校正？	比较大脑皮质的运动指令与实际运动反馈，分析误差并修正动作。	使动作协调、准确和适时。	运动生理学 神经系统机能 运动调控 小脑
小脑在运动程序方面有什么作用？	参与程序预编并储存运动程序，促进动作协调和技能熟练化。		运动生理学 神经系统机能 运动调控 小脑
基底神经节在运动调控中承担什么功能？	参与运动设计、程序编制、启动和执行。	通过皮质—基底神经节—丘脑—皮质回路发挥作用。	运动生理学 神经系统机能 运动调控 基底神经节
基底神经节病变可能导致哪些运动障碍？	运动启动、姿势控制和动作协调障碍。		运动生理学 神经系统机能 运动调控 基底神经节
大脑皮质在运动调控中的地位是什么？	随意运动的最高级控制部位。		运动生理学 神经系统机能 运动调控 大脑皮质
大脑皮质运动区主要包括哪些区域？	第 I 运动区、运动前区和运动辅助区等。	主要负责随意运动的计划、启动、调节和执行。	运动生理学 神经系统机能 运动调控 大脑皮质
为什么说人体运动是躯体运动与植物性功能的整体反应？	骨骼肌活动必须与心血管、呼吸、代谢、体温和内分泌等调节同步配合。		运动生理学 神经系统机能 整合效应
运动时交感神经和副交感神经活动如何变化？	交感神经活动增强，副交感神经作用相对减弱。		运动生理学 神经系统机能 整合效应 植物性功能
运动时交感神经兴奋对心血管功能有何影响？	使心率加快、心肌收缩力增强、心输出量增加并促使血流重新分配。	目的在于满足运动肌的供血需求。	运动生理学 神经系统机能 整合效应 心血管
运动时交感神经兴奋对呼吸功能有何影响？	使支气管扩张、呼吸活动加强。	有利于增加氧供应。	运动生理学 神经系统机能 整合效应 呼吸
下丘脑和边缘系统在运动整合中参与哪些调节？	参与体温、内分泌、情绪和本能行为调节。		运动生理学 神经系统机能 整合效应
运动中的感觉反馈主要来自哪些系统？	肌肉、关节、前庭、视觉和内脏。	中枢据此持续调整动作、姿势、心肺功能和内环境。	运动生理学 神经系统机能 整合效应 感觉反馈
运动技能学习和记忆的神经基础是什么？	中枢神经系统可塑性，尤其是突触可塑性。		运动生理学 神经系统机能 脑高级功能 学习记忆
反复训练如何促进动作技能自动化？	改变神经环路和突触传递效率，使动作技能逐渐稳定并自动化。		运动生理学 神经系统机能 脑高级功能 学习记忆
动作性技巧、习惯化和程序性动作属于哪类记忆？	非陈述性记忆。		运动生理学 神经系统机能 脑高级功能 学习记忆
体育教学中的动作示范属于哪一信号系统？	第一信号系统。		运动生理学 神经系统机能 脑高级功能 信号系统
体育教学中的语言讲解属于哪一信号系统？	第二信号系统。	示范与讲解结合有利于建立正确动作概念。	运动生理学 神经系统机能 脑高级功能 信号系统
睡眠对运动训练和动作学习有什么意义？	促进精力和体力恢复，有利于维持训练质量和动作学习效果。		运动生理学 神经系统机能 脑高级功能 睡眠
脑电图在运动实践中可用于监控什么？	运动负荷、运动疲劳和恢复状态。	属于客观判断人体机能状态的生物电方法。	运动生理学 神经系统机能 脑高级功能 脑电图
