#separator:tab
#html:true
#columns:Front	Back	Extra	Tags
#notetype:Basic
#deck:考研::运动生理学::02骨骼肌机能
#tags column:4
肌小节的定义是什么？	相邻两条 Z 线之间的结构，是骨骼肌收缩的基本结构和功能单位。	25分结构题起点：先下定义，再写肌丝排列与滑行。	运动生理学 骨骼肌机能 肌小节 概念
突触前末梢钙离子内流如何促进乙酰胆碱释放？	促使含乙酰胆碱的突触小泡与突触前膜融合并胞吐递质。		运动生理学 骨骼肌机能 神经肌肉接头 机制
乙酰胆碱与终板受体结合后引起什么离子流动？	主要引起钠离子内流和钾离子外流。	净效应为终板膜去极化。	运动生理学 骨骼肌机能 神经肌肉接头 机制
终板电位是如何形成的？	乙酰胆碱与终板受体结合，引起离子流动和终板膜去极化。		运动生理学 骨骼肌机能 神经肌肉接头 机制
终板电位达到阈电位后会发生什么？	肌细胞膜产生动作电位。	终板电位本身不是沿肌膜传播的动作电位。	运动生理学 骨骼肌机能 神经肌肉接头 辨析
肌膜动作电位产生后沿哪些结构传播？	沿肌膜并通过横小管系统传入肌细胞内部。	由此进入兴奋—收缩耦联。	运动生理学 骨骼肌机能 神经肌肉接头 机制
神经—肌肉接头传递障碍会直接影响哪些运动表现？	肌肉募集、力量输出和运动表现。	康复桥接：神经支配或接头传递异常可表现为无力。	运动生理学 骨骼肌机能 神经肌肉接头 意义
兴奋—收缩耦联的定义是什么？	骨骼肌细胞膜电兴奋与肌丝滑行产生机械收缩之间的中介联系。	50分机制链的核心概念。	运动生理学 骨骼肌机能 兴奋收缩耦联 概念
兴奋—收缩耦联如何把表面电信号传入肌细胞深部？	动作电位沿肌膜传播，并经横小管系统传入肌细胞内部。		运动生理学 骨骼肌机能 兴奋收缩耦联 机制
横小管兴奋后，肌质网发生什么变化？	肌质网终末池释放钙离子，使肌浆钙离子浓度升高。		运动生理学 骨骼肌机能 兴奋收缩耦联 机制
兴奋—收缩耦联中钙离子的直接结合对象是什么？	肌钙蛋白。		运动生理学 骨骼肌机能 兴奋收缩耦联 钙离子
钙离子与肌钙蛋白结合后如何暴露横桥结合位点？	使原肌球蛋白移位，暴露肌动蛋白上的结合位点。		运动生理学 骨骼肌机能 兴奋收缩耦联 机制
横桥形成后如何产生肌丝滑行？	肌球蛋白横桥与肌动蛋白结合并摆动，牵拉细肌丝向肌小节中央移动。		运动生理学 骨骼肌机能 兴奋收缩耦联 横桥
肌肉舒张时肌浆钙离子浓度为什么下降？	钙离子被主动泵回肌质网。	钙回收需要能量。	运动生理学 骨骼肌机能 兴奋收缩耦联 舒张
钙离子被泵回肌质网后，横桥活动如何变化？	肌动蛋白结合位点重新被遮蔽，横桥活动减少，肌肉舒张。		运动生理学 骨骼肌机能 兴奋收缩耦联 舒张
请按顺序概括兴奋—收缩耦联的机制链？	肌膜动作电位→横小管传导→肌质网释钙→钙结合肌钙蛋白→原肌球蛋白移位→横桥循环→肌丝滑行。	上体机制题应按因果顺序书写。	运动生理学 骨骼肌机能 兴奋收缩耦联 大题框架
兴奋—收缩耦联说明肌力输出受哪些环节共同影响？	神经兴奋传导、钙离子调控、收缩蛋白功能和能量供应。	适合联系疲劳与康复训练。	运动生理学 骨骼肌机能 兴奋收缩耦联 意义
骨骼肌兴奋性的定义是什么？	骨骼肌受到适宜刺激后产生动作电位的能力。	兴奋性表现为电变化。	运动生理学 骨骼肌机能 兴奋性 概念
骨骼肌收缩性的定义是什么？	骨骼肌兴奋后产生机械收缩的能力。	收缩性表现为机械变化。	运动生理学 骨骼肌机能 收缩性 概念
骨骼肌兴奋性与收缩性有何区别？	兴奋性指产生动作电位的能力；收缩性指产生机械收缩的能力。	电变化 vs 机械变化，二者由兴奋—收缩耦联联系。	运动生理学 骨骼肌机能 兴奋性 收缩性 辨析
引起骨骼肌兴奋的刺激必须具备哪三个条件？	适当的刺激强度、持续时间和强度变化率。		运动生理学 骨骼肌机能 兴奋性 刺激
阈刺激的定义是什么？	能引起组织兴奋的最小刺激强度。		运动生理学 骨骼肌机能 兴奋性 阈刺激
阈刺激大小与组织兴奋性高低有何关系？	阈刺激越小，兴奋性越高；阈刺激越大，兴奋性越低。	反比关系。	运动生理学 骨骼肌机能 兴奋性 辨析
骨骼肌单收缩包括哪三个时期？	潜伏期、收缩期和舒张期。		运动生理学 骨骼肌机能 单收缩
运动中肌肉力量大小主要受哪些因素影响？	肌纤维兴奋数量、运动单位募集程度、刺激频率及肌肉自身功能状态。	可作为力量生理基础的答题框架。	运动生理学 骨骼肌机能 肌力 调节因素
慢肌纤维的收缩和抗疲劳特点是什么？	收缩较慢，抗疲劳能力强。		运动生理学 骨骼肌机能 肌纤维类型 慢肌
慢肌纤维为何具有较强的有氧代谢能力？	肌红蛋白、毛细血管和线粒体含量较多。	结构—代谢—功能链。	运动生理学 骨骼肌机能 肌纤维类型 慢肌
慢肌纤维主要适合哪类运动？	长时间耐力性运动。	如长跑、自行车和耐力游泳。	运动生理学 骨骼肌机能 肌纤维类型 慢肌 应用
快肌纤维的收缩和力量特点是什么？	收缩速度快，产生力量和功率的能力强。		运动生理学 骨骼肌机能 肌纤维类型 快肌
快肌纤维的代谢和抗疲劳特点是什么？	无氧代谢能力较强，但抗疲劳能力相对较弱。		运动生理学 骨骼肌机能 肌纤维类型 快肌
快肌纤维主要适合哪类运动？	短时间、大强度、爆发性运动。	如短跑、跳跃、投掷和举重。	运动生理学 骨骼肌机能 肌纤维类型 快肌 应用
综合体能或球类项目为何需要快慢肌纤维共同参与？	既需要持续供能和抗疲劳，也需要快速、高功率输出。	联系项目特点作答。	运动生理学 骨骼肌机能 肌纤维类型 运动应用
耐力训练如何改善肌纤维功能？	提高毛细血管密度、线粒体数量和有氧代谢酶活性，增强抗疲劳能力。	运动适应链。	运动生理学 骨骼肌机能 肌纤维类型 训练适应
力量和速度训练如何改善肌纤维功能？	提高神经募集能力、肌纤维横断面积和快速用力能力。		运动生理学 骨骼肌机能 肌纤维类型 训练适应
肌纤维类型与训练对运动能力的关系应如何概括？	肌纤维类型提供先天功能基础，训练可显著改善其代谢特征、募集能力和运动表现。	避免绝对化地说训练可任意改变肌纤维类型。	运动生理学 骨骼肌机能 肌纤维类型 大题框架
